Algorithm,N: 100,N: 200,N: 300,N: 400,N: 500,N: 600,N: 700,N: 800,N: 900,N: 1000
Mean MergeSort Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean MergeSort Comparisons,672.0,1544.0,2488.0,3488.0,4488.0,5576.0,6676.0,7776.0,8876.0,9976.0
Mean InsertionSort Swaps,2561.93,10186.55,22660.3,40200.64,62499.23,90203.86,122764.35,160146.08,202943.77,251702.95
Mean InsertionSort Comparisons,2561.93,10186.55,22660.3,40200.64,62499.23,90203.86,122764.35,160146.08,202943.77,251702.95
Mean QuickSort Swaps,164.39,375.04,604.08,842.45,1096.35,1344.04,1610.01,1872.4,2141.73,2414.56
Mean QuickSort Comparisons,1034.46,2384.91,3875.41,5388.12,6975.5,8676.96,10257.83,12046.6,13767.4,15582.81
Mean DualPivotQuickSort Swaps,276.27,643.54,1048.76,1462.65,1871.16,2328.79,2739.94,3211.71,3722.41,4159.58
Mean DualPivotQuickSort Comparisons,540.58,1276.43,2089.83,2930.41,3820.96,4762.89,5660.17,6678.79,7682.66,8587.61
Mean HybridSort Swaps,321.38,688.82,1070.89,1469.57,1879.09,2276.38,2706.87,3113.83,3559.44,3964.94
Mean HybridSort Comparisons,821.95,1960.35,3236.85,4540.2,5911.2,7396.33,8770.73,10351.18,11860.75,13456.92
Mean MergeSort Swaps / N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean MergeSort Comparisons / N,6.72,7.72,8.293333,8.72,8.976,9.293333,9.537143,9.72,9.862223,9.976
Mean InsertionSort Swaps / N,25.619299,50.93275,75.53433,100.5016,124.99846,150.33977,175.37764,200.1826,225.49307,251.70296
Mean InsertionSort Comparisons / N,25.619299,50.93275,75.53433,100.5016,124.99846,150.33977,175.37764,200.1826,225.49307,251.70296
Mean QuickSort Swaps / N,1.6439,1.8752,2.0136,2.106125,2.1927,2.2400668,2.3000143,2.3405,2.3797,2.41456
Mean QuickSort Comparisons / N,10.3446,11.924549,12.918033,13.470301,13.951,14.4616,14.654043,15.058249,15.2971115,15.582809
Mean DualPivotQuickSort Comparisons / N,2.7626998,3.2177,3.4958668,3.656625,3.74232,3.8813167,3.9141998,4.0146375,4.136011,4.15958
Mean DualPivotQuickSort Comparisons / N,5.4058003,6.38215,6.9661,7.326025,7.64192,7.9381504,8.085957,8.348488,8.536289,8.58761
Mean QuickSort Comparisons / N,3.2138,3.4441001,3.5696335,3.673925,3.75818,3.7939665,3.8669574,3.8922875,3.9549332,3.9649398
Mean QuickSort Comparisons / N,8.219501,9.80175,10.7895,11.3505,11.8224,12.327217,12.529615,12.938974,13.178611,13.45692
