Algorithm,N: 100,N: 200,N: 300,N: 400,N: 500,N: 600,N: 700,N: 800,N: 900,N: 1000
Mean MergeSort Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean MergeSort Comparisons,672.0,1544.0,2488.0,3488.0,4488.0,5576.0,6676.0,7776.0,8876.0,9976.0
Mean InsertionSort Swaps,2811.0,10327.0,21972.0,40320.0,64472.0,85446.0,124893.0,162598.0,197492.0,249827.0
Mean InsertionSort Comparisons,2811.0,10327.0,21972.0,40320.0,64472.0,85446.0,124893.0,162598.0,197492.0,249827.0
Mean QuickSort Swaps,169.0,386.0,582.0,837.0,1089.0,1339.0,1598.0,1880.0,2140.0,2320.0
Mean QuickSort Comparisons,1230.0,3145.0,4806.0,6950.0,8360.0,10946.0,12298.0,14657.0,16348.0,19810.0
Mean DualPivotQuickSort Swaps,267.0,594.0,927.0,1275.0,1979.0,2676.0,2808.0,2926.0,3492.0,4661.0
Mean DualPivotQuickSort Comparisons,270.0,913.0,1263.0,1864.0,2443.0,3051.0,3802.0,3759.0,4258.0,5556.0
Mean HybridSort Swaps,358.0,684.0,1021.0,1455.0,1812.0,2293.0,2663.0,3114.0,3555.0,3904.0
Mean HybridSort Comparisons,864.0,2391.0,3772.0,5492.0,6599.0,8755.0,9700.0,11740.0,13135.0,16247.0
Mean MergeSort Swaps / N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean MergeSort Comparisons / N,6.72,7.72,8.293333,8.72,8.976,9.293333,9.537143,9.72,9.862223,9.976
Mean InsertionSort Swaps / N,28.11,51.635,73.24,100.8,128.944,142.41,178.41856,203.2475,219.43556,249.827
Mean InsertionSort Comparisons / N,28.11,51.635,73.24,100.8,128.944,142.41,178.41856,203.2475,219.43556,249.827
Mean QuickSort Swaps / N,1.69,1.93,1.94,2.0925,2.178,2.2316666,2.2828572,2.35,2.3777778,2.32
Mean QuickSort Comparisons / N,12.3,15.725,16.02,17.375,16.72,18.243334,17.568571,18.32125,18.164444,19.81
Mean DualPivotQuickSort Comparisons / N,2.67,2.97,3.09,3.1875,3.958,4.46,4.0114284,3.6575,3.88,4.661
Mean DualPivotQuickSort Comparisons / N,2.7,4.565,4.21,4.66,4.886,5.085,5.4314284,4.69875,4.731111,5.556
Mean QuickSort Comparisons / N,3.58,3.42,3.4033334,3.6375,3.624,3.8216667,3.8042858,3.8925,3.95,3.904
Mean QuickSort Comparisons / N,8.64,11.955,12.573334,13.73,13.198,14.591666,13.857142,14.675,14.594444,16.247
