Algorithm,N: 100,N: 200,N: 300,N: 400,N: 500,N: 600,N: 700,N: 800,N: 900,N: 1000,N: 1100,N: 1200,N: 1300,N: 1400,N: 1500,N: 1600,N: 1700,N: 1800,N: 1900,N: 2000,N: 2100,N: 2200,N: 2300,N: 2400,N: 2500,N: 2600,N: 2700,N: 2800,N: 2900,N: 3000,N: 3100,N: 3200,N: 3300,N: 3400,N: 3500,N: 3600,N: 3700,N: 3800,N: 3900,N: 4000,N: 4100,N: 4200,N: 4300,N: 4400,N: 4500,N: 4600,N: 4700,N: 4800,N: 4900,N: 5000,N: 5100,N: 5200,N: 5300,N: 5400,N: 5500,N: 5600,N: 5700,N: 5800,N: 5900,N: 6000,N: 6100,N: 6200,N: 6300,N: 6400,N: 6500,N: 6600,N: 6700,N: 6800,N: 6900,N: 7000,N: 7100,N: 7200,N: 7300,N: 7400,N: 7500,N: 7600,N: 7700,N: 7800,N: 7900,N: 8000,N: 8100,N: 8200,N: 8300,N: 8400,N: 8500,N: 8600,N: 8700,N: 8800,N: 8900,N: 9000,N: 9100,N: 9200,N: 9300,N: 9400,N: 9500,N: 9600,N: 9700,N: 9800,N: 9900,N: 10000
Mean Select3 Time,629118.0,798278.0,982242.0,1205884.0,2660712.0,1763732.0,1974305.9,2220829.0,2155396.0,2328077.0,2584151.0,2762075.0,4102728.0,3378239.0,3466653.0,3845996.2,4618849.0,4398635.0,3983786.0,5012886.0,4253074.0,4447588.0,4499427.0,4973076.0,6980945.5,6030402.0,6478425.0,5669221.0,8479007.0,6892275.0,7467882.0,6579877.0,7196800.0,9103842.0,8334279.0,7593531.0,7939045.0,9206264.0,8172961.5,7643516.0,7633766.0,1.0052413E7,9865850.0,8028278.0,9705409.0,1.0609033E7,1.0617283E7,8883697.0,1.1901343E7,1.0714737E7,1.2204092E7,1.105646E7,1.1715805E7,9342445.0,1.0378758E7,1.1538775E7,1.1177277E7,1.0152133E7,9857636.0,1.0140824E7,1.1128227E7,1.0228294E7,1.1637708E7,1.1318359E7,1.0857627E7,1.0803185E7,1.1046975E7,1.1508019E7,1.0842152E7,1.3671854E7,1.2807418E7,1.3003814E7,1.5615192E7,1.367591E7,1.2856237E7,1.4285041E7,1.4558458E7,1.5272024E7,1.6630589E7,1.2137484E7,1.2386807E7,1.4658467E7,1.4152908E7,1.4437673E7,1.4858584E7,1.3012605E7,1.3804753E7,1.3976934E7,1.4727201E7,1.4105638E7,1.4938982E7,1.3957228E7,1.6867464E7,1.5351572E7,1.5639837E7,1.6870544E7,1.6237341E7,1.5583474E7,1.6456984E7,1.7782586E7
Mean Select5 Time,172236.0,288720.0,350629.0,448692.0,496656.0,665856.0,741440.0,947044.0,851850.0,873263.06,902126.0,982587.06,996647.06,1442288.0,1219026.0,1461617.9,1514200.0,2375772.0,1277324.0,1367876.0,2467694.0,1639691.0,1621653.0,1570127.0,1505524.0,1688985.9,1682721.0,1670520.0,2930396.2,2886869.0,1982193.9,1948508.0,1980996.0,2058825.9,3227465.0,3158328.0,4342237.0,3353421.0,2113169.0,2197254.0,2147778.0,2392266.0,2211011.0,2460163.0,3661297.0,2513400.0,2454604.0,2695622.0,3033615.0,3678610.0,2489301.0,2673677.0,2759427.8,2504817.0,3712310.0,3918926.0,3967888.0,3002899.0,3062619.0,2950415.0,2765522.0,2881392.0,4337581.0,3970824.0,3184227.8,2911361.0,3161955.0,4264231.0,3311666.0,5507756.0,4362957.0,3267800.0,3406510.0,3307209.0,3378281.0,5320255.0,3396801.0,4919263.0,3627769.0,3370142.0,3523047.0,4698680.0,4136706.0,3797261.0,3869040.0,3995247.0,3988233.0,4953880.0,4241703.0,4171278.0,4337594.0,3851283.8,4317704.0,5006582.0,3886691.8,4254734.0,4288253.0,4612287.0,4086010.0,4494847.0
Mean Select7 Time,146342.0,243499.0,295560.0,294352.0,393066.0,398963.0,416430.0,1476823.0,479250.0,526143.0,699176.0,668099.0,756583.06,704950.0,719792.94,708718.0,752956.94,819627.06,898466.0,1989359.0,935030.0,905164.0,1093888.0,1256996.0,2137384.0,1158941.0,1324313.0,1113233.0,1027296.0,1269107.0,1172121.0,1421875.0,1337212.0,1472151.0,1446361.0,1312614.0,1495052.0,1390691.0,1426408.0,1467808.0,1382872.0,1520407.0,1600401.9,1584727.0,1560931.0,1609683.0,1609808.0,1704361.9,1635271.0,1709869.0,1714974.1,1728623.0,1676415.0,2700297.0,1859590.1,1708145.9,1700581.0,1722375.0,1780797.0,1743561.9,1903693.0,1884302.1,1987653.0,2197506.0,3296654.0,2129867.0,1896062.1,1885056.0,1946412.0,2079710.1,2000225.9,2250233.0,2110003.0,2121075.0,2275302.0,2144710.0,3501235.8,2772442.0,3617328.0,2523625.0,2468653.0,2280817.0,2209641.0,3385261.0,2421322.0,2326025.0,2400139.0,2507036.0,2756338.0,4676295.0,2525630.0,2654810.0,3495592.0,2485400.0,2709011.8,3899701.0,2571541.0,2381670.0,2422743.0,2466531.0
Mean Select9 Time,95139.0,178180.0,264587.0,315755.0,271368.0,302818.0,336064.0,373683.0,383673.0,429321.0,463351.0,1327140.0,536742.0,575560.0,675596.94,644786.0,631616.0,659442.0,635598.0,699508.0,719602.0,735240.94,844472.0,1757784.0,779934.0,839547.06,900698.0,833923.06,811552.0,849155.06,892280.0,937383.06,998791.06,964610.0,2195700.0,1025304.0,1036010.0,2696043.0,1047086.0,1024967.06,1009306.0,1072440.0,1065063.0,1110491.0,1199870.0,1218884.0,1164939.0,1218164.0,1231797.0,1302016.0,1213932.0,1252924.0,2366446.0,1401024.0,1372655.0,1379787.0,1334715.0,2376079.0,1479374.1,2501640.0,1480519.0,1504582.1,2733411.8,2635665.0,1420281.0,1529551.0,1520364.0,1507278.1,1681276.0,1780479.0,1746757.0,1564960.0,1885020.0,1726825.0,1769144.0,1868817.9,1636333.0,1874302.1,2818833.0,1742814.1,1634383.0,1645188.0,1730980.0,1640697.0,1749029.0,1839903.0,1687772.0,1689759.0,1690545.9,1748848.0,1965455.0,1893581.0,1731861.0,1811206.1,1831605.0,2092289.9,1911696.0,1891473.9,2914531.8,1974537.0
Mean RandomSelect Swaps / N,1.6272,1.70365,1.6289333,1.6473,1.7248399,1.69615,1.6962428,1.7663001,1.6497111,1.7099301
Mean Select3 Swaps / N,9.3136,10.3429,10.604867,11.1228,11.75874,11.42165,12.181257,12.197426,12.169,12.08066
Mean Select5 Swaps / N,8.0001,8.38085,8.915733,9.06935,9.40548,9.5057335,9.606657,9.5088005,9.683545,9.66596
Mean Select7 Swaps / N,7.8682003,8.770949,8.838866,9.19405,9.29766,9.28965,9.479772,9.639837,9.531611,9.62378
Mean Select9 Swaps / N,8.2051,9.1628,9.5068,9.726025,9.7579,9.826217,9.960129,9.979288,10.198334,10.16621
Mean RandomSelect Comparisons / N,3.1163,3.2958999,3.1998334,3.2895002,3.2543402,3.5012834,3.3507,3.425325,3.3122556,3.35914
Mean Select3 Comparisons / N,11.846701,13.3749,13.7521,14.573276,15.253941,14.85095,15.834457,15.872476,15.894089,15.7559
Mean Select5 Comparisons / N,10.112,10.6091,11.270666,11.4949,11.95874,12.081217,12.271543,12.07285,12.314656,12.28197
Mean Select7 Comparisons / N,9.6846,10.8704,10.926167,11.429225,11.525781,11.502017,11.767756,11.939663,11.781745,11.94371
Mean Select9 Comparisons / N,9.9771,11.144151,11.591467,11.8904505,11.853741,11.910566,12.152986,12.170175,12.352422,12.347349
