Algorithm,N: 1000,N: 2000,N: 3000,N: 4000,N: 5000,N: 6000,N: 7000,N: 8000,N: 9000,N: 10000,N: 11000,N: 12000,N: 13000,N: 14000,N: 15000,N: 16000,N: 17000,N: 18000,N: 19000,N: 20000,N: 21000,N: 22000,N: 23000,N: 24000,N: 25000,N: 26000,N: 27000,N: 28000,N: 29000,N: 30000,N: 31000,N: 32000,N: 33000,N: 34000,N: 35000,N: 36000,N: 37000,N: 38000,N: 39000,N: 40000,N: 41000,N: 42000,N: 43000,N: 44000,N: 45000,N: 46000,N: 47000,N: 48000,N: 49000,N: 50000,N: 51000,N: 52000,N: 53000,N: 54000,N: 55000,N: 56000,N: 57000,N: 58000,N: 59000,N: 60000,N: 61000,N: 62000,N: 63000,N: 64000,N: 65000,N: 66000,N: 67000,N: 68000,N: 69000,N: 70000,N: 71000,N: 72000,N: 73000,N: 74000,N: 75000,N: 76000,N: 77000,N: 78000,N: 79000,N: 80000,N: 81000,N: 82000,N: 83000,N: 84000,N: 85000,N: 86000,N: 87000,N: 88000,N: 89000,N: 90000,N: 91000,N: 92000,N: 93000,N: 94000,N: 95000,N: 96000,N: 97000,N: 98000,N: 99000,N: 100000
Mean BinarySearch Comparisons,16.98,19.9,21.76,21.76,23.24,23.22,23.16,23.08,25.26,25.26,25.18,24.88,25.28,24.88,24.5,25.18,26.76,26.44,26.64,26.5,26.7,26.12,26.84,26.66,26.64,26.5,25.78,26.54,26.44,26.56,27.0,25.74,26.8,27.92,27.34,28.36,27.02,27.84,28.1,28.34,28.32,28.76,28.46,28.46,28.16,27.96,28.26,28.08,28.46,28.72,28.34,28.74,28.72,28.5,28.54,28.26,28.76,28.48,28.7,28.82,28.42,28.56,28.74,28.66,28.64,28.68,30.44,30.34,30.18,30.14,29.8,30.2,30.48,30.46,29.86,30.1,30.26,30.28,30.56,29.84,30.26,30.32,30.38,30.32,30.48,29.0,28.98,28.88,28.96,29.0,28.8,29.0,29.0,29.0,28.88,28.9,29.0,29.0,31.44,31.64
Mean BinarySearch Times,505.04,93.06,97.05,81.02,63.94,57.98,62.01,55.91,123.07,65.0,88.03,48.97,137.97,74.97,53.04,60.04,148.02,67.94,76.03,63.9,62.03,64.04,71.02,101.0,134.02,52.02,51.04,55.0,55.97,72.01,65.98,77.94,56.95,68.93,64.94,63.04,55.09,70.04,78.0,66.0,105.0,114.0,83.96,145.91,64.96,72.99,70.95,243.03,126.0,78.05,76.01,90.97,87.03,98.12,113.93,135.11,136.94,136.99,155.05,141.03,158.86,170.97,350.23,190.09,188.0,156.04,198.96,199.02,191.07,189.01,194.92,186.02,196.0,218.05,277.02,211.07,218.04,217.98,193.01,217.03,231.96,240.06,240.06,213.99,242.17,215.98,230.07,259.88,252.13,254.05,254.02,221.96,226.96,593.97,253.99,228.06,232.98,294.05,283.11,257.02
Mean Binary Search Compares / N,0.01698,0.00995,0.0072533335,0.00544,0.004648,0.00387,0.0033085714,0.002885,0.0028066668,0.002526,0.002289091,0.0020733334,0.0019446154,0.0017771428,0.0016333334,0.00157375,0.0015741177,0.001468889,0.0014021052,0.001325,0.0012714287,0.0011872727,0.0011669565,0.0011108334,0.0010656,0.0010192308,9.5481484E-4,9.4785716E-4,9.117242E-4,8.8533334E-4,8.7096775E-4,8.04375E-4,8.121212E-4,8.2117645E-4,7.8114285E-4,7.8777777E-4,7.302703E-4,7.326316E-4,7.205128E-4,7.085E-4,6.907317E-4,6.847619E-4,6.6186045E-4,6.4681814E-4,6.2577776E-4,6.0782605E-4,6.012766E-4,5.85E-4,5.808163E-4,5.744E-4,5.556863E-4,5.526923E-4,5.418868E-4,5.2777777E-4,5.1890913E-4,5.0464284E-4,5.045614E-4,4.910345E-4,4.864407E-4,4.803333E-4,4.6590163E-4,4.6064515E-4,4.5619046E-4,4.478125E-4,4.4061537E-4,4.3454545E-4,4.5432837E-4,4.4617648E-4,4.373913E-4,4.305714E-4,4.197183E-4,4.1944446E-4,4.1753423E-4,4.1162162E-4,3.9813333E-4,3.9605264E-4,3.92987E-4,3.8820514E-4,3.8683543E-4,3.73E-4,3.7358026E-4,3.697561E-4,3.660241E-4,3.6095237E-4,3.5858824E-4,3.372093E-4,3.3310344E-4,3.281818E-4,3.2539325E-4,3.2222221E-4,3.1648352E-4,3.152174E-4,3.1182796E-4,3.0851064E-4,3.04E-4,3.0104167E-4,2.9896907E-4,2.9591838E-4,3.1757576E-4,3.164E-4
